"Afghanistan",51,7.81,19701940,"South Asia"
"Albania",74.2,2.47,3121965,"Europe & Central Asia"
"Algeria",73.2,2.63,31183658,"Middle East & North Africa"
"Angola",52.6,6.88,15058638,"Sub-Saharan Africa"
"Antigua and Barbuda",73.9,2.32,77648,"America"
"Argentina",74.3,2.54,37057453,"America"
"Armenia",71.4,1.4,3076098,"Europe & Central Asia"
"Aruba",74.919,1.91,90858,"America"
"Australia",79.7,1.76,19107251,"East Asia & Pacific"
"Austria",78.2,1.34,8050884,"Europe & Central Asia"
"Azerbaijan",68,2.11,8117742,"Europe & Central Asia"
"Bahamas",70.3,2.17,297891,"America"
"Bahrain",73.6,2.81,666855,"Middle East & North Africa"
"Bangladesh",65.8,3.23,131280739,"South Asia"
"Barbados",74.3,1.76,269838,"America"
"Belarus",68.2,1.25,9952055,"Europe & Central Asia"
"Belgium",77.8,1.62,10268380,"Europe & Central Asia"
"Belize",69,3.7,247312,"America"
"Benin",59.2,6.05,6949366,"Sub-Saharan Africa"
"Bhutan",63.9,3.81,564187,"South Asia"
"Bolivia",67.6,4.22,8339512,"America"
"Bosnia and Herzegovina",75.2,1.43,3792878,"Europe & Central Asia"
"Botswana",51.6,3.52,1736579,"Sub-Saharan Africa"
"Brazil",71.9,2.4,175786441,"America"
"Brunei",75.5,2.48,330554,"East Asia & Pacific"
"Bulgaria",71.7,1.18,8000510,"Europe & Central Asia"
"Burkina Faso",53.3,6.65,11607944,"Sub-Saharan Africa"
"Burundi",47.5,7.11,6767073,"Sub-Saharan Africa"
"Cambodia",60.9,3.9,12197905,"East Asia & Pacific"
"Cameroon",55,5.68,15927713,"Sub-Saharan Africa"
"Canada",79.3,1.54,30701903,"America"
"Cape Verde",70.1,3.88,438737,"Sub-Saharan Africa"
"Chad",52.4,7.38,8343321,"Sub-Saharan Africa"
"Channel Islands",79.745,1.4,148725,"Europe & Central Asia"
"Chile",77.2,2.14,15170387,"America"
"China",71.5,1.45,1269974572,"East Asia & Pacific"
"Colombia",72.5,2.68,40403959,"America"
"Comoros",60.2,5.31,547696,"Sub-Saharan Africa"
"Congo, Dem. Rep.",52.5,7.14,48048664,"Sub-Saharan Africa"
"Congo, Rep.",52.6,5.14,3109269,"Sub-Saharan Africa"
"Costa Rica",77.7,2.48,3925450,"America"
"Cote d'Ivoire",52.8,5.46,16517948,"Sub-Saharan Africa"
"Croatia",74.7,1.47,4428069,"Europe & Central Asia"
"Cuba",75.9,1.62,11116787,"America"
"Cyprus",79.1,1.78,943287,"Europe & Central Asia"
"Denmark",76.9,1.74,5338283,"Europe & Central Asia"
"Djibouti",59.6,4.61,722562,"Middle East & North Africa"
"Ecuador",73.2,3.11,12628596,"America"
"Egypt",68.9,3.37,68334905,"Middle East & North Africa"
"El Salvador",72.9,3.07,5811836,"America"
"Equatorial Guinea",52.4,5.81,530896,"Sub-Saharan Africa"
"Eritrea",49.3,6.02,3535156,"Sub-Saharan Africa"
"Estonia",70.1,1.31,1399145,"Europe & Central Asia"
"Ethiopia",52.5,6.66,66443603,"Sub-Saharan Africa"
"Fiji",64.2,3.13,811223,"East Asia & Pacific"
"Finland",77.8,1.73,5176482,"Europe & Central Asia"
"France",79.1,1.8,59387183,"Europe & Central Asia"
"French Guiana",76.21,3.88,163162,"America"
"French Polynesia",75.377,2.52,237267,"East Asia & Pacific"
"Gabon",58,4.66,1231548,"Sub-Saharan Africa"
"Gambia",60,5.94,1228863,"Sub-Saharan Africa"
"Georgia",72.3,1.64,4743591,"Europe & Central Asia"
